"x","y","z","w","partid"
-2.57807,7.47337,8.5,1,100
-2.11987,8.18251,8.5,1,100
-2.97533,7.92515,8.5,1,100
-2.61985,8.6809,8.5,1,100
-3.44409,8.30221,8.5,1,100
-3.19464,9.09077,8.5,1,100
-3.97049,8.59344,8.5,1,100
-3.82875,9.40107,8.5,1,100
-4.539,8.79022,8.5,1,100
-4.50509,9.60343,8.5,1,100
-5.1328,8.88673,8.5,1,100
-5.20542,9.6924,8.5,1,100
-5.24457,9.69724,8.5,1,100
-5.35082,9.74715,8.5,1,100
-5.37955,9.7742,8.5,1,100
-5.40367,9.80542,8.5,1,100
-5.42258,9.84005,8.5,1,100
-5.4358,9.87723,8.5,1,100
-8.87888,5.73561,-8.5,1,100
-2.26404,6.96025,-1.5,1,100
-1.39587,6.97591,-1.5,1,100
-2.04253,6.40092,-1.5,1,100
-1.19136,6.30022,-1.5,1,100
-1.92007,5.81192,-1.5,1,100
-1.10016,5.60018,-1.5,1,100
-1.90028,5.21066,-1.5,1,100
-1.12473,4.89464,-1.5,1,100
-1.98375,4.61488,-1.5,1,100
-1.26442,4.20264,-1.5,1,100
-2.16801,4.0422,-1.5,1,100
-1.51545,3.54282,-1.5,1,100
-2.44762,3.50954,-1.5,1,100
-1.87105,2.93297,-1.5,1,100
-5.40367,9.80542,-1.5,1,100
-5.37955,9.7742,-1.5,1,100
-5.33581,8.89609,-1.5,1,100
-5.35082,9.74715,-1.5,1,100
-5.31819,9.72497,-1.5,1,100
-5.44301,9.91602,-1.5,1,100
-5.4358,9.87723,-1.5,1,100
-5.42258,9.84005,-1.5,1,100
-5.28248,9.70819,-1.5,1,100
-5.24457,9.69724,-1.5,1,100
-5.1328,8.88673,-1.5,1,100
-5.20542,9.6924,-1.5,1,100
-4.539,8.79022,-1.5,1,100
-4.50509,9.60343,-1.5,1,100
-3.97049,8.59344,-1.5,1,100
-3.82875,9.40107,-1.5,1,100
-3.44409,8.30221,-1.5,1,100
-3.19464,9.09077,-1.5,1,100
-2.97533,7.92515,-1.5,1,100
-2.61985,8.6809,-1.5,1,100
-2.57807,7.47337,-1.5,1,100
-2.11987,8.18251,-1.5,1,100
-1.70818,7.60902,-1.5,1,100
-9.78647,6.28859,-1.5,1,100
-9.74736,6.29379,-1.5,1,100
-9.70956,6.30509,-1.5,1,100
-9.674,6.32219,-1.5,1,100
-9.64157,6.34467,-1.5,1,100
-9.61309,6.37197,-1.5,1,100
-6.18115,8.80724,-1.5,1,100
-6.40216,9.59051,-1.5,1,100
-6.37071,9.61434,-1.5,1,100
-6.30383,9.71081,-1.5,1,100
-6.29254,9.74862,-1.5,1,100
-6.28733,9.78773,-1.5,1,100
-6.28835,9.82717,-1.5,1,100
-9.58925,6.40341,-1.5,1,100
-9.57066,6.43822,-1.5,1,100
-8.76936,6.32715,-1.5,1,100
-9.55778,6.47551,-1.5,1,100
-8.56017,6.8912,-1.5,1,100
-9.34653,7.09308,-1.5,1,100
-8.25747,7.41109,-1.5,1,100
-6.34341,9.64283,-1.5,1,100
-6.32093,9.67525,-1.5,1,100
-9.04425,7.67155,-1.5,1,100
-8.65789,8.19762,-1.5,1,100
-7.87021,7.87147,-1.5,1,100
-8.19636,8.65915,-1.5,1,100
-7.40983,8.25872,-1.5,1,100
-7.6703,9.0455,-1.5,1,100
-6.88994,8.56142,-1.5,1,100
-7.09182,9.34779,-1.5,1,100
-6.32589,8.77062,-1.5,1,100
-6.47425,9.55904,-1.5,1,100
-6.43696,9.57192,-1.5,1,100
-9.87597,5.43705,-1.5,1,100
-9.8388,5.42383,-1.5,1,100
-9.70694,5.28374,-1.5,1,100
-9.72371,5.31945,-1.5,1,100
-9.7459,5.35208,-1.5,1,100
-9.77294,5.38081,-1.5,1,100
-9.80416,5.40493,-1.5,1,100
-3.50828,2.44888,-1.5,1,100
-2.93171,1.87231,-1.5,1,100
-4.04095,2.16927,-1.5,1,100
-3.54157,1.5167,-1.5,1,100
-4.61363,1.98501,-1.5,1,100
-4.20139,1.26567,-1.5,1,100
-5.2094,1.90153,-1.5,1,100
-4.89339,1.12599,-1.5,1,100
-5.81067,1.92132,-1.5,1,100
-5.59892,1.10141,-1.5,1,100
-6.39966,2.04378,-1.5,1,100
-6.29896,1.19261,-1.5,1,100
-6.97465,1.39712,-1.5,1,100
-6.95899,2.2653,-1.5,1,100
-7.60777,1.70943,-1.5,1,100
-7.47212,2.57933,-1.5,1,100
-8.18125,2.12113,-1.5,1,100
-7.92389,2.97659,-1.5,1,100
-8.67965,2.62111,-1.5,1,100
-8.30096,3.44535,-1.5,1,100
-9.08951,3.1959,-1.5,1,100
-8.59218,3.97175,-1.5,1,100
-9.39981,3.83001,-1.5,1,100
-8.78896,4.54025,-1.5,1,100
-9.60217,4.50634,-1.5,1,100
-8.88547,5.13405,-1.5,1,100
-9.69114,5.20667,-1.5,1,100
-9.69599,5.24583,-1.5,1,100
-2.44762,3.50954,0.25,1,100
-2.16801,4.0422,0.25,1,100
-1.98375,4.61488,0.25,1,100
-1.90028,5.21066,0.25,1,100
-1.92007,5.81192,0.25,1,100
-2.04253,6.40092,0.25,1,100
-2.26404,6.96025,0.25,1,100
-2.57807,7.47337,0.25,1,100
-2.97533,7.92515,0.25,1,100
-3.44409,8.30221,0.25,1,100
-3.97049,8.59344,0.25,1,100
-4.539,8.79022,0.25,1,100
-5.1328,8.88673,0.25,1,100
-5.73435,8.88013,0.25,1,100
-6.32589,8.77062,0.25,1,100
-6.88994,8.56142,0.25,1,100
-7.40983,8.25872,0.25,1,100
-7.87021,7.87147,0.25,1,100
-8.25747,7.41109,0.25,1,100
-8.56017,6.8912,0.25,1,100
-8.76936,6.32715,0.25,1,100
-8.87888,5.73561,0.25,1,100
-8.88547,5.13405,0.25,1,100
-8.78896,4.54025,0.25,1,100
-8.59218,3.97175,0.25,1,100
-8.30096,3.44535,0.25,1,100
-7.92389,2.97659,0.25,1,100
-7.47212,2.57933,0.25,1,100
-6.95899,2.2653,0.25,1,100
-6.39966,2.04378,0.25,1,100
-5.81067,1.92132,0.25,1,100
-5.2094,1.90153,0.25,1,100
-4.61363,1.98501,0.25,1,100
-4.04095,2.16927,0.25,1,100
-3.50828,2.44888,0.25,1,100
-5.33581,8.89609,-8.5,1,100
-5.75104,12.84676,7.39947,1,100
-5.67537,12.12681,-7.50133,1,100
-5.67291,12.1034,-7.67708,1,100
-5.69268,12.29153,8.37856,1,100
-5.67637,12.13633,8.44543,1,100
-5.65914,11.97243,8.48627,1,100
-5.56579,11.08419,-8.5,1,100
-5.58425,11.2599,-8.48502,1,100
-5.6022,11.4306,-8.44052,1,100
-5.6191,11.59142,-8.36775,1,100
-5.63448,11.73775,-8.26881,1,100
-5.6479,11.86544,-8.14651,1,100
-5.75046,12.84128,7.56916,1,100
-5.74704,12.80867,7.73574,1,100
-5.74085,12.74978,7.89486,1,100
-5.65897,11.97083,-8.00434,1,100
-5.66739,12.05091,-7.84636,1,100
-5.73206,12.66614,8.04235,1,100
-5.72089,12.55995,8.17435,1,100
-5.70765,12.43398,8.28741,1,100
-1.47327,3.63381,3.85,1,100
-1.44173,3.70573,6.4,1,100
-1.47327,3.63381,6.4,1,100
-1.47327,3.63381,7.3,1,100
-1.26442,4.20264,7.3,1,100
-1.15371,4.6905,7.3,1,100
-1.15371,4.6905,3.85,1,100
-1.26442,4.20264,3.85,1,100
-2.44762,3.50954,-0.75,1,100
-3.17866,4.24058,-0.75,1,100
-3.17866,4.24058,0.25,1,100
-2.16801,4.0422,-0.75,1,100
-1.98375,4.61488,-0.75,1,100
-1.90028,5.21066,-0.75,1,100
-1.92007,5.81192,-0.75,1,100
-2.04253,6.40092,-0.75,1,100
-2.26404,6.96025,-0.75,1,100
-2.57807,7.47337,-0.75,1,100
-2.97533,7.92515,-0.75,1,100
-3.44409,8.30221,-0.75,1,100
-3.97049,8.59344,-0.75,1,100
-4.539,8.79022,-0.75,1,100
-5.1328,8.88673,-0.75,1,100
-5.73435,8.88013,-0.75,1,100
-5.73435,8.88013,-8.5,1,100
-6.18115,8.80724,-8.5,1,100
-6.32589,8.77062,-0.75,1,100
-6.88994,8.56142,-0.75,1,100
-7.40983,8.25872,-0.75,1,100
-7.87021,7.87147,-0.75,1,100
-8.25747,7.41109,-0.75,1,100
-8.56017,6.8912,-0.75,1,100
-8.76936,6.32715,-0.75,1,100
-8.87888,5.73561,-0.75,1,100
-8.88547,5.13405,-0.75,1,100
-8.78896,4.54025,-0.75,1,100
-8.59218,3.97175,-0.75,1,100
-8.30096,3.44535,-0.75,1,100
-7.92389,2.97659,-0.75,1,100
-7.47212,2.57933,-0.75,1,100
-6.95899,2.2653,-0.75,1,100
-6.39966,2.04378,-0.75,1,100
-5.81067,1.92132,-0.75,1,100
-5.2094,1.90153,-0.75,1,100
-4.61363,1.98501,-0.75,1,100
-4.04095,2.16927,-0.75,1,100
-3.50828,2.44888,-0.75,1,100
-4.23932,3.17992,0.25,1,100
-4.23932,3.17992,-0.75,1,100
-3.63256,1.47452,7.3,1,100
-3.63256,1.47452,6.4,1,100
-3.70447,1.44299,6.4,1,100
-3.63256,1.47452,3.85,1,100
-4.20139,1.26567,7.3,1,100
-4.68924,1.15496,7.3,1,100
-4.68924,1.15496,3.85,1,100
-4.20139,1.26567,3.85,1,100
-6.52071,12.03796,-7.50133,1,100
-6.46444,11.50257,-8.36775,1,100
-6.44754,11.34175,-8.44052,1,100
-6.51274,11.96206,-7.84636,1,100
-6.50432,11.88198,-8.00434,1,100
-6.41113,10.99534,-8.5,1,100
-6.4296,11.17105,-8.48502,1,100
-6.59638,12.75791,7.39947,1,100
-6.50449,11.88359,8.48627,1,100
-6.52171,12.04748,8.44543,1,100
-6.51825,12.01455,-7.67708,1,100
-6.49324,11.77659,-8.14651,1,100
-6.47982,11.64891,-8.26881,1,100
-6.53803,12.20268,8.37856,1,100
-6.553,12.34513,8.28741,1,100
-6.56624,12.4711,8.17435,1,100
-6.5774,12.57729,8.04235,1,100
-6.58619,12.66093,7.89486,1,100
-6.59581,12.75243,7.56916,1,100
-6.59238,12.71982,7.73574,1,100
-3.01357,4.63687,-0.75,1,100
-3.01357,4.63687,0.25,1,100
-2.91871,5.05556,-0.75,1,100
-2.91871,5.05556,0.25,1,100
-2.89688,5.48431,-0.75,1,100
-2.89688,5.48431,0.25,1,100
-2.94872,5.91047,-0.75,1,100
-2.94872,5.91047,0.25,1,100
-3.07271,6.32148,-0.75,1,100
-3.07271,6.32148,0.25,1,100
-3.26519,6.70522,-0.75,1,100
-3.26519,6.70522,0.25,1,100
-3.52049,7.05036,-0.75,1,100
-3.52049,7.05036,0.25,1,100
-3.83107,7.34674,-0.75,1,100
-3.83107,7.34674,0.25,1,100
-4.18778,7.58561,-0.75,1,100
-4.18778,7.58561,0.25,1,100
-4.5801,7.75994,-0.75,1,100
-4.5801,7.75994,0.25,1,100
-4.99646,7.86457,-0.75,1,100
-4.99646,7.86457,0.25,1,100
-5.42458,7.89642,-0.75,1,100
-5.42458,7.89642,0.25,1,100
-5.85184,7.85456,-0.75,1,100
-5.85184,7.85456,0.25,1,100
-6.26564,7.74022,-0.75,1,100
-6.26564,7.74022,0.25,1,100
-6.65377,7.55677,-0.75,1,100
-6.65377,7.55677,0.25,1,100
-7.00479,7.30961,-0.75,1,100
-7.00479,7.30961,0.25,1,100
-7.30836,7.00605,-0.75,1,100
-7.30836,7.00605,0.25,1,100
-7.55551,6.65503,-0.75,1,100
-7.55551,6.65503,0.25,1,100
-7.73896,6.26689,-0.75,1,100
-7.73896,6.26689,0.25,1,100
-7.8533,5.8531,-0.75,1,100
-7.8533,5.8531,0.25,1,100
-7.89516,5.42584,-0.75,1,100
-7.89516,5.42584,0.25,1,100
-7.86331,4.99772,-0.75,1,100
-7.86331,4.99772,0.25,1,100
-7.75868,4.58136,-0.75,1,100
-7.75868,4.58136,0.25,1,100
-7.58436,4.18904,-0.75,1,100
-7.58436,4.18904,0.25,1,100
-7.34549,3.83233,-0.75,1,100
-7.34549,3.83233,0.25,1,100
-7.04911,3.52175,-0.75,1,100
-7.04911,3.52175,0.25,1,100
-6.70396,3.26645,-0.75,1,100
-6.70396,3.26645,0.25,1,100
-6.32022,3.07397,-0.75,1,100
-6.32022,3.07397,0.25,1,100
-5.90922,2.94998,-0.75,1,100
-5.90922,2.94998,0.25,1,100
-5.48305,2.89813,-0.75,1,100
-5.48305,2.89813,0.25,1,100
-5.05431,2.91996,-0.75,1,100
-5.05431,2.91996,0.25,1,100
-4.63561,3.01482,-0.75,1,100
-4.63561,3.01482,0.25,1,100
9.94888,-12.21037,7.3,1,100
9.31248,-12.84676,7.3,1,100
9.94888,-12.21037,3.85,1,100
9.31248,-12.84676,3.85,1,100
1.60502,0.65898,3.85,1,100
-0.18042,2.44442,3.85,1,100
-2.9737,1.15199,3.85,1,100
-2.89602,1.18199,3.85,1,100
-2.44317,0.18168,3.85,1,100
6.62547,-4.36148,3.85,1,100
2.87781,-0.61381,3.85,1,100
5.35268,-3.08869,3.85,1,100
3.08995,-5.35143,3.85,1,100
